Feature,Importance_Score
Rocket Height (m),0.3042193533529697
Vehicle Type,0.17748120279187637
Liftoff Thrust (kN),0.15886469505252515
Temperature (° F),0.06973977943405561
Wind speed (MPH),0.05565747248741469
Payload Type,0.049139049655572684
Company,0.047799753011845525
Payload Mass (kg),0.04641156063297844
Payload Orbit,0.045561365064335085
Humidity (%),0.04512576851642681
